what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.core.variables,3.2.200.v20090521,"org.eclipse.core.variables",1472650434364
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1472650765326
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1472650858331
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1472650861597
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1472650864769
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1472650865035
started,bundle,org.eclipse.jdt.junit,3.5.0.v20090526-2000,"org.eclipse.jdt.junit",1472650880974
started,bundle,org.eclipse.mylyn.java.ui,3.2.0.v20090617-0100-e3x,"org.eclipse.mylyn.java.ui",1472650903914
started,bundle,org.eclipse.pde.api.tools,1.0.100.v20090526,"org.eclipse.pde.api.tools",1472650903961
started,bundle,org.eclipse.pde.api.tools.ui,1.0.100.v20090526,"org.eclipse.pde.api.tools.ui",1472650903961
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1472652387766
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1472652407737
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1472652449329
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1472652456505
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.copy",1472652599201
started,bundle,org.eclipse.mylyn.java.tasks,3.2.0.v20090617-0100-e3x,"org.eclipse.mylyn.java.tasks",1472652599257
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.paste",1472652601968
started,bundle,org.eclipse.debug.ui,3.5.0.v20090603,"org.eclipse.debug.ui",1472652648612
started,bundle,org.eclipse.jdt.debug,3.5.0.v20090526,"org.eclipse.jdt.debug",1472652648665
started,bundle,org.eclipse.jdt.debug.ui,3.4.0.v20090527,"org.eclipse.jdt.debug.ui",1472652648704
started,bundle,org.eclipse.wst.server.core,1.1.101.v20090515,"org.eclipse.wst.server.core",1472652656007
started,bundle,org.eclipse.wst.server.ui,1.1.102.v20090515,"org.eclipse.wst.server.ui",1472652656020
executed,command,org.eclipse.wst.server.ui,1.1.102.v20090515,"org.eclipse.wst.server.launchShortcut.run",1472652656026
activated,view,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.internal.introview",1472652661885
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1472652678392
